category,subcategories,code,name,price,url,option_name,options,option_prices
보드,,A-1,아두이노 우노 R3 호환보드 SMD 타입,2900,https://eduino.kr/product/detail.html?product_no=59&cate_no=134&display_group=1,,,
보드,,A-7,아두이노 나노 v3.0 328P 호환보드,2850,https://eduino.kr/product/detail.html?product_no=130&cate_no=134&display_group=1,,,
보드,,B-10,아두이노 센서 확장 쉴드 V5.0,1800,https://eduino.kr/product/detail.html?product_no=115&cate_no=134&display_group=1,,,
보드,,B-18,아두이노 나노 I/O 확장 프로토 쉴드,1800,https://eduino.kr/product/detail.html?product_no=174&cate_no=134&display_group=1,,,
보드,,A-5,아두이노 우노+WIFI D1 R1 보드(ESP8266),6000,https://eduino.kr/product/detail.html?product_no=64&cate_no=134&display_group=1,,,
보드,,B-29,아두이노 다기능 범용 확장 쉴드,4400,https://eduino.kr/product/detail.html?product_no=660&cate_no=134&display_group=1,,,

센서,환경|수질/토양,C-5,아두이노 토양 수분감지 센서 모듈,1100,https://eduino.kr/product/detail.html?product_no=84&cate_no=34&display_group=1,,,
센서,환경|수질/토양,C-6,아두이노 빗물감지 수위 측정 센서 모듈,440,https://eduino.kr/product/detail.html?product_no=106&cate_no=34&display_group=1,,,
센서,환경,C-73,아두이노 온도 습도 온습도 모듈(케이블 포함) DHT-11,1500,https://eduino.kr/product/detail.html?product_no=91&cate_no=34&display_group=1,,,
센서,환경,C-49,아두이노 미세먼지 측정 센서 PM2.5 GP2Y1014AU,8800,https://eduino.kr/product/detail.html?product_no=433&cate_no=34&display_group=1,,,

센서,거리/위치,C-21,아두이노 초음파센서 HC-SR04,1100,https://eduino.kr/product/detail.html?product_no=39&cate_no=54&display_group=1,,,
센서,거리/위치|조도/적외선/컬러,C-23,장애물 감지 아두이노 적외선(IR) 송수신 센서 모듈,880,https://eduino.kr/product/detail.html?product_no=87&cate_no=54&display_group=1,,,
센서,거리/위치,C-26,아두이노 적외선 거리측정센서 10~80cm 2Y0A21,9500,https://eduino.kr/product/detail.html?product_no=235&cate_no=54&display_group=1,,,
센서,거리/위치,C-30,적외선 고정밀 ToF 거리센서 VL53L0X V2,5500,https://eduino.kr/product/detail.html?product_no=1117&cate_no=54&display_group=1,,,

센서,압력/접촉,C-83,아두이노 정전식 터치센서 TTP223B,660,https://eduino.kr/product/detail.html?product_no=370&cate_no=996&display_group=1,,,
센서,압력/접촉,C-84,아두이노 16키 디지털 터치 센서 TTP229 모듈,2500,https://eduino.kr/product/detail.html?product_no=303&cate_no=996&display_group=1,,,
센서,압력/접촉,C-62,아두이노 충격센서 / 진동센서 모듈 SW-18010P,1100,https://eduino.kr/product/detail.html?product_no=289&cate_no=996&display_group=1,,,
센서,압력/접촉,C-18,아두이노 멤브레인 1x4 키패드 센서,1100,https://eduino.kr/product/detail.html?product_no=1376&cate_no=1092&display_group=1,,,
센서,압력/접촉,C-71,아두이노 틸트 기울기 센서 SW-520D 모듈,750,https://eduino.kr/product/detail.html?product_no=381&cate_no=60&display_group=1,,,

센서,조도/적외선/컬러,C-54,아두이노 광 포토셀 CdS 조도센서 모듈,770,https://eduino.kr/product/detail.html?product_no=234&cate_no=992&display_group=1,,,
센서,조도/적외선/컬러,C-52,아두이노 적외선 PIR 센서 인체감지 모션센서 HC-SR501,1200,https://eduino.kr/product/detail.html?product_no=104&cate_no=992&display_group=1,,,
센서,조도/적외선/컬러,D-47,아두이노 적외선 레이저 모듈 5V,770,https://eduino.kr/product/detail.html?product_no=68&cate_no=992&display_group=1,,,
센서,조도/적외선/컬러,C-66,아두이노 RGB 컬러 센서 TCS34725 모듈,5500,https://eduino.kr/product/detail.html?product_no=390&cate_no=992&display_group=1,,,

센서,LCD/디스플레이,D-23,아두이노 LCD 16x2 4핀 I2C 디스플레이,3400,https://eduino.kr/product/detail.html?product_no=105&cate_no=1004&display_group=1,,,
센서,LCD/디스플레이,D-26,아두이노 LCD 20x4 4핀 I2C 디스플레이,6600,https://eduino.kr/product/detail.html?product_no=133&cate_no=1004&display_group=1,,,
센서,LCD/디스플레이,D-28,아두이노 128x64 OLED 0.96인치 I2C 디스플레이,4800,https://eduino.kr/product/detail.html?product_no=58&cate_no=1004&display_group=1,,,
센서,LCD/디스플레이,D-69,아두이노 1.8인치 128x160 TFT LCD 모듈,9900,https://eduino.kr/product/detail.html?product_no=316&cate_no=1004&display_group=1,,,

센서,릴레이/스위치,D-41,아두이노 1채널 5V 릴레이 모듈,990,https://eduino.kr/product/detail.html?product_no=56&cate_no=1019&display_group=1,,,
센서,릴레이/스위치,D-50,아두이노 조이스틱 모듈,990,https://eduino.kr/product/detail.html?product_no=78&cate_no=1092&display_group=1,,,
